Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-24-27 , 0.15061 , -0.67707 , -0.50271 , -0.29614 , 0.82768 , 0.25261 , -0.17427 , -0.72301 , 7.13362 , 8.70553 , 7.11882 , 8.71374 , 7.28663 , 8.66456 , 7.29555 , 8.85117 , 7.31896 , 8.84643 , 7.45124 , 8.85067 , nan , nan , nan , nan , 7.26747 , 0.12457 , 8.77202 , 0.08643 , 
ID-24-28 , -0.12977 , -0.90156 , -0.59531 , -0.50043 , 0.77179 , 0.12926 , -0.30614 , -0.93583 , 6.94388 , 8.58363 , 6.80725 , 8.65969 , 7.02304 , 8.55076 , 7.03509 , 8.69661 , 6.81322 , 8.68183 , 7.12335 , 8.70074 , nan , nan , nan , nan , 6.95764 , 0.12759 , 8.64554 , 0.06323 , 
ID-24-29 , -0.29417 , -1.00489 , -0.6673 , -0.65057 , 0.71072 , 0.06839 , -0.33749 , -1.05645 , 6.89286 , 8.56015 , 6.69953 , 8.67805 , 6.91352 , 8.55009 , 6.91677 , 8.59199 , 6.63665 , 8.56964 , 6.94274 , 8.59386 , 6.5805 , 8.36942 , nan , nan , 6.79751 , 0.15299 , 8.55903 , 0.09364 , 
ID-24-30 , -0.34481 , -0.604 , -0.79518 , -0.63633 , 0.25919 , 0.19123 , 0.19128 , -0.63628 , 7.67216 , 9.0525 , 7.53288 , 9.09232 , nan , nan , 7.32331 , 8.90257 , 6.85619 , 8.87161 , 7.13674 , 8.88251 , nan , nan , nan , nan , 7.30426 , 0.32281 , 8.9603 , 0.1039 , 
ID-24-31 , -0.20553 , -0.43943 , -0.70666 , -0.60057 , 0.23391 , 0.16822 , 0.26733 , -0.50146 , 7.84693 , 9.10631 , 7.99612 , 9.064 , nan , nan , 7.43601 , 8.98003 , 7.12786 , 8.96259 , 7.22344 , 8.96539 , nan , nan , nan , nan , 7.52607 , 0.3815 , 9.01566 , 0.06551 , 
ID-24-32 , -0.13456 , -0.45214 , -0.63496 , -0.58502 , 0.31758 , 0.07772 , 0.18292 , -0.47982 , 7.58107 , 9.06388 , 7.66027 , 9.04499 , nan , nan , 7.37474 , 8.98722 , 7.24047 , 8.98071 , 7.24548 , 8.97917 , nan , nan , nan , nan , 7.4204 , 0.19262 , 9.01119 , 0.04015 , 
ID-24-33 , -0.02617 , -0.2114 , -0.36816 , -0.60783 , 0.3843 , 0.07524 , 0.15686 , -0.52621 , 7.5246 , 9.04576 , 7.66012 , 9.01468 , nan , nan , 7.32414 , 8.95967 , 7.35528 , 8.96292 , 7.20728 , 8.95027 , nan , nan , nan , nan , 7.41428 , 0.17823 , 8.98666 , 0.04152 , 
ID-24-34 , 0.0241 , -0.17424 , -0.21436 , -0.58824 , 0.48034 , 0.05069 , 0.04022 , -0.59871 , 7.30617 , 8.95669 , 7.39799 , 8.92982 , 7.24205 , 8.98007 , 7.2339 , 8.91492 , 7.30333 , 8.92049 , 7.19529 , 8.90839 , nan , nan , nan , nan , 7.27979 , 0.07196 , 8.93506 , 0.02775 , 
ID-24-35 , 0.00098 , -0.14896 , -0.22221 , -0.6302 , 0.46016 , 0.0623 , 0.07335 , -0.61915 , 7.3582 , 8.98498 , 7.43209 , 8.96297 , nan , nan , 7.22635 , 8.90317 , 7.21722 , 8.90426 , 7.14944 , 8.89323 , nan , nan , nan , nan , 7.27666 , 0.11517 , 8.92972 , 0.04136 , 
ID-24-36 , -0.03034 , -0.21705 , -0.28033 , -0.66318 , 0.42869 , 0.02168 , 0.06338 , -0.62148 , 7.3223 , 8.98344 , 7.38501 , 8.96508 , nan , nan , 7.1967 , 8.89941 , 7.18951 , 8.8998 , 7.1185 , 8.88973 , nan , nan , nan , nan , 7.2424 , 0.10835 , 8.92749 , 0.04337 , 
