Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-23-44 , -0.13077 , -0.40046 , -0.57158 , -0.41085 , 0.23036 , -0.05539 , 0.17122 , -0.18425 , 7.49316 , 9.07664 , 7.61524 , 9.04092 , nan , nan , 7.62141 , 9.13026 , nan , nan , nan , nan , nan , nan , nan , nan , 7.5766 , 0.07233 , 9.0826 , 0.04497 , 
ID-23-45 , -0.22091 , -0.37396 , -0.52214 , -0.5484 , 0.11372 , -0.19041 , 0.14827 , -0.20972 , 7.39012 , 9.08291 , 7.47929 , 9.05015 , nan , nan , 7.4273 , 9.10919 , nan , nan , 7.46742 , 9.10281 , nan , nan , nan , nan , 7.44103 , 0.04058 , 9.08626 , 0.02655 , 
ID-23-46 , -0.35739 , -0.35402 , -0.47305 , -0.77768 , -0.05073 , -0.3936 , 0.11913 , -0.26494 , 7.26463 , 9.09683 , 7.33017 , 9.06434 , nan , nan , 7.19323 , 9.07324 , 7.32386 , 9.07287 , 7.15885 , 9.06416 , nan , nan , nan , nan , 7.25415 , 0.07672 , 9.07429 , 0.01335 , 
ID-23-47 , -0.52094 , -0.27523 , -0.39971 , -1.02443 , -0.21221 , -0.55523 , 0.12458 , -0.34462 , 7.22252 , 9.12992 , 7.27989 , 9.09913 , nan , nan , 7.01197 , 9.03014 , 6.9847 , 9.02673 , 6.91626 , 9.02039 , nan , nan , nan , nan , 7.08307 , 0.1587 , 9.06126 , 0.04995 , 
ID-23-48 , -0.47525 , -0.2372 , -0.39462 , -1.02473 , -0.16093 , -0.4944 , 0.15751 , -0.37282 , 7.29893 , 9.14356 , 7.37427 , 9.10547 , nan , nan , 7.0321 , 9.01934 , 6.98994 , 9.01535 , 6.90703 , 9.0093 , nan , nan , nan , nan , 7.12046 , 0.20412 , 9.05861 , 0.06176 , 
ID-23-49 , -0.24666 , -0.19892 , -0.43631 , -0.77946 , 0.09429 , -0.16525 , 0.23749 , -0.37672 , 7.58044 , 9.14089 , 7.79647 , 9.07998 , nan , nan , 7.26053 , 9.02955 , 7.2438 , 9.02219 , 7.10962 , 9.01714 , nan , nan , nan , nan , 7.39817 , 0.28191 , 9.05795 , 0.05272 , 
ID-23-50 , -0.20162 , -0.16232 , -0.36343 , -0.7131 , 0.12939 , -0.14433 , 0.2012 , -0.36757 , 7.51348 , 9.11256 , 7.66938 , 9.06143 , nan , nan , 7.29067 , 9.03512 , 7.3687 , 9.03144 , 7.17628 , 9.02388 , nan , nan , nan , nan , 7.4037 , 0.19259 , 9.05288 , 0.03623 , 
ID-23-51 , -0.19642 , -0.22399 , -0.42745 , -0.57643 , 0.13592 , -0.12116 , 0.20356 , -0.25171 , 7.52959 , 9.11029 , 7.68444 , 9.06057 , nan , nan , 7.4464 , 9.09607 , nan , nan , 7.40141 , 9.08205 , nan , nan , nan , nan , 7.51546 , 0.12454 , 9.08724 , 0.02119 , 
ID-23-52 , -0.21886 , -0.24211 , -0.46188 , -0.52493 , 0.09986 , -0.13665 , 0.21987 , -0.16842 , 7.55675 , 9.12412 , 7.72998 , 9.06916 , nan , nan , 7.53731 , 9.13032 , nan , nan , 7.54447 , 9.12317 , nan , nan , nan , nan , 7.59213 , 0.09225 , 9.11169 , 0.02853 , 
ID-23-53 , -0.21739 , -0.26598 , -0.48163 , -0.47813 , 0.11321 , -0.14585 , 0.21575 , -0.11652 , 7.54363 , 9.12287 , 7.7143 , 9.06781 , nan , nan , 7.61135 , 9.15034 , nan , nan , 7.69698 , 9.15167 , nan , nan , nan , nan , 7.64156 , 0.0793 , 9.12317 , 0.03922 , 
ID-23-54 , -0.1096 , -0.28266 , -0.38794 , -0.36499 , 0.24492 , -0.12003 , 0.10537 , -0.1396 , 7.33804 , 9.03934 , 7.4222 , 9.0097 , 7.50325 , 8.98247 , 7.60803 , 9.14324 , nan , nan , nan , nan , nan , nan , nan , nan , 7.46788 , 0.11524 , 9.04369 , 0.07031 , 
ID-23-55 , -0.13445 , -0.30657 , -0.43603 , -0.40131 , 0.21885 , -0.1376 , 0.12956 , -0.13415 , 7.37703 , 9.06021 , 7.47501 , 9.02516 , nan , nan , 7.59306 , 9.14404 , nan , nan , nan , nan , nan , nan , nan , nan , 7.4817 , 0.10817 , 9.07647 , 0.06109 , 
ID-23-56 , -0.28349 , -0.34374 , -0.44716 , -0.61902 , 0.06923 , -0.30322 , 0.10352 , -0.21229 , 7.26791 , 9.06918 , 7.3225 , 9.04244 , nan , nan , 7.31394 , 9.1009 , nan , nan , 7.36402 , 9.09519 , nan , nan , nan , nan , 7.31709 , 0.03941 , 9.07693 , 0.02682 , 
ID-23-57 , -0.45612 , -0.3414 , -0.43877 , -0.8431 , -0.11277 , -0.48527 , 0.09747 , -0.26036 , 7.20133 , 9.09664 , 7.24288 , 9.07307 , nan , nan , 7.13121 , 9.07051 , 7.17889 , 9.07101 , 7.0942 , 9.0614 , nan , nan , nan , nan , 7.1697 , 0.05835 , 9.07453 , 0.01315 , 
ID-23-58 , -0.56544 , -0.34175 , -0.48426 , -0.91201 , -0.23591 , -0.52711 , 0.14261 , -0.24229 , 7.26051 , 9.13841 , 7.3048 , 9.11669 , nan , nan , 7.11603 , 9.07586 , 7.0802 , 9.07347 , 7.03025 , 9.06501 , nan , nan , nan , nan , 7.15836 , 0.11852 , 9.09389 , 0.03193 , 
ID-23-59 , -0.62418 , -0.3885 , -0.53317 , -0.91831 , -0.30305 , -0.59144 , 0.14477 , -0.18211 , 7.24308 , 9.15174 , 7.28722 , 9.12921 , nan , nan , 7.11895 , 9.09721 , 7.11001 , 9.09881 , 7.04352 , 9.08767 , nan , nan , nan , nan , 7.16056 , 0.10104 , 9.11293 , 0.02672 , 
ID-23-60 , -0.55474 , -0.39113 , -0.57435 , -0.82586 , -0.24005 , -0.52275 , 0.18332 , -0.11979 , 7.33578 , 9.16758 , 7.40383 , 9.133 , nan , nan , 7.22121 , 9.12495 , 7.35032 , 9.13387 , 7.16138 , 9.11644 , nan , nan , nan , nan , 7.2945 , 0.09983 , 9.13517 , 0.01944 , 
ID-23-61 , -0.36917 , -0.30418 , -0.46429 , -0.67363 , -0.06701 , -0.36122 , 0.1602 , -0.1522 , 7.35033 , 9.12157 , 7.43133 , 9.08493 , nan , nan , 7.32692 , 9.12143 , nan , nan , 7.32046 , 9.11713 , nan , nan , nan , nan , 7.35726 , 0.05102 , 9.11126 , 0.01768 , 
ID-23-62 , -0.21626 , -0.20365 , -0.36913 , -0.6151 , 0.1176 , -0.1874 , 0.16557 , -0.26212 , 7.4248 , 9.09482 , 7.53227 , 9.05611 , nan , nan , 7.36942 , 9.08656 , nan , nan , 7.33932 , 9.07442 , nan , nan , nan , nan , 7.41645 , 0.08494 , 9.07798 , 0.01682 , 
ID-23-63 , -0.23032 , -0.18981 , -0.29311 , -0.66463 , 0.14905 , -0.22707 , 0.1034 , -0.33417 , 7.2943 , 9.05598 , 7.3511 , 9.03202 , nan , nan , 7.2473 , 9.05129 , 7.40303 , 9.0473 , 7.23524 , 9.04052 , nan , nan , nan , nan , 7.30619 , 0.07078 , 9.04542 , 0.00939 , 
ID-23-64 , -0.28108 , -0.21216 , -0.30678 , -0.74547 , 0.12723 , -0.24984 , 0.09471 , -0.40091 , 7.27061 , 9.05329 , 7.30262 , 9.03778 , nan , nan , 7.17914 , 9.01395 , 7.17239 , 9.0092 , 7.13135 , 9.00843 , nan , nan , nan , nan , 7.21122 , 0.07211 , 9.02453 , 0.02005 , 
